asset_id,asset_class,rating,volatility,sector
1,ETF,BBB,0.195,Technology
2,Commodity,AAA,0.16,Infrastructure
3,Equity,AA,0.189,Technology
4,Bond,AA,0.181,Finance
5,Real Estate,AAA,0.128,Technology
6,Commodity,A,0.186,Infrastructure
7,Bond,AAA,0.036,Technology
8,ETF,BB,0.055,Utilities
9,ETF,BB,0.028,Finance
10,ETF,AA,0.079,Healthcare
11,Bond,BB,0.09,Technology
12,Commodity,AA,0.069,Infrastructure
13,Bond,AAA,0.169,Finance
14,Bond,AAA,0.084,Infrastructure
15,Real Estate,AAA,0.071,Infrastructure
16,Real Estate,AA,0.118,Technology
17,Commodity,AAA,0.045,Infrastructure
18,Real Estate,AAA,0.164,Technology
19,ETF,A,0.033,Healthcare
20,Real Estate,AAA,0.198,Utilities
21,ETF,BB,0.159,Infrastructure
22,Commodity,AA,0.056,Infrastructure
23,Bond,A,0.021,Infrastructure
24,Bond,BBB,0.167,Energy
25,Real Estate,AA,0.147,Energy
26,ETF,BB,0.151,Finance
27,Equity,AA,0.159,Utilities
28,Equity,BB,0.033,Utilities
29,Equity,BB,0.085,Energy
30,Bond,BBB,0.041,Finance
31,Bond,AA,0.175,Energy
32,ETF,BBB,0.132,Healthcare
33,Real Estate,BBB,0.08,Finance
34,Equity,AA,0.031,Utilities
35,ETF,AAA,0.076,Utilities
36,ETF,AAA,0.079,Energy
37,Real Estate,BBB,0.151,Healthcare
38,ETF,A,0.135,Energy
39,Real Estate,BBB,0.18,Technology
40,Commodity,BBB,0.105,Technology
41,Real Estate,BBB,0.042,Healthcare
42,Equity,AAA,0.148,Infrastructure
43,Equity,AAA,0.157,Infrastructure
44,Real Estate,AAA,0.121,Technology
45,Commodity,BBB,0.159,Technology
46,Commodity,A,0.109,Infrastructure
47,Equity,AAA,0.114,Finance
48,Commodity,AA,0.097,Infrastructure
49,ETF,AA,0.025,Energy
50,Bond,AA,0.039,Finance
51,ETF,BB,0.026,Energy
52,Equity,BBB,0.135,Technology
53,Commodity,AA,0.077,Finance
54,Real Estate,BBB,0.112,Energy
55,Bond,AA,0.183,Energy
56,Real Estate,A,0.065,Finance
57,Equity,BBB,0.094,Healthcare
58,Commodity,AA,0.156,Infrastructure
59,Real Estate,AAA,0.061,Utilities
60,Real Estate,BBB,0.034,Energy
61,Bond,BB,0.072,Infrastructure
62,Bond,AAA,0.049,Utilities
63,Commodity,AAA,0.187,Infrastructure
64,Bond,BB,0.165,Technology
65,Real Estate,AAA,0.134,Utilities
66,Real Estate,AAA,0.177,Infrastructure
67,Equity,AA,0.165,Energy
68,Real Estate,AA,0.054,Utilities
69,Commodity,BBB,0.181,Technology
70,ETF,BBB,0.117,Finance
71,Equity,BBB,0.165,Energy
72,Equity,AA,0.181,Technology
73,Commodity,BBB,0.077,Technology
74,Commodity,AAA,0.04,Utilities
75,Bond,AA,0.061,Infrastructure
76,Equity,BBB,0.097,Finance
77,Bond,AAA,0.167,Energy
78,Real Estate,BBB,0.175,Energy
79,Equity,A,0.021,Infrastructure
80,Equity,BBB,0.112,Finance
81,ETF,A,0.095,Utilities
82,Equity,BBB,0.06,Energy
83,Real Estate,BB,0.042,Finance
84,Bond,BBB,0.081,Utilities
85,Bond,AA,0.19,Utilities
86,ETF,AA,0.078,Energy
87,Real Estate,A,0.113,Infrastructure
88,Bond,AA,0.147,Healthcare
89,Commodity,AAA,0.085,Energy
90,Real Estate,BB,0.195,Technology
91,Real Estate,BB,0.193,Technology
92,ETF,AAA,0.065,Utilities
93,Bond,A,0.11,Healthcare
94,Real Estate,AAA,0.074,Energy
95,Bond,AAA,0.071,Technology
96,Commodity,BB,0.027,Technology
97,ETF,BBB,0.13,Energy
98,Commodity,BB,0.11,Finance
99,ETF,BB,0.029,Utilities
100,Real Estate,AA,0.07,Energy
