position_id,portfolio_id,asset_id,region,exposure_value,return_rate,trade_date
1,33,45,US,78702.9,0.08,10-03-2025
2,1,96,MENA,196919.49,0.08,11-09-2025
3,19,28,LATAM,251317.21,0.12,08-01-2024
4,2,21,MENA,2650422.5,0.09,14-08-2025
5,44,13,LATAM,2441587.98,0.06,25-05-2025
6,26,27,Asia,778189.36,0.14,30-08-2024
7,32,100,US,895848.2,0.11,28-05-2025
8,6,7,Asia,25095.63,0.08,02-10-2024
9,32,22,US,92521.6,0.05,24-02-2025
10,4,74,Europe,370608.35,0.05,13-07-2025
11,11,53,LATAM,141296.47,0.08,13-08-2025
12,17,79,Europe,72668.38,0.05,10-01-2025
13,38,79,Europe,177758.78,0.05,04-02-2024
14,24,4,US,184865.36,0.09,08-02-2024
15,5,96,Asia,95676.25,0.12,04-08-2025
16,34,23,MENA,224528.47,0.1,09-05-2025
17,6,70,US,171534.77,0.12,12-01-2025
18,22,88,MENA,103158.7,0.1,25-04-2024
19,11,84,Europe,10604.4,0.09,17-08-2025
20,48,84,MENA,353380.31,0.11,08-05-2025
21,16,76,Asia,359583.18,0.06,22-03-2024
22,33,33,US,73929.08,0.09,25-05-2024
23,9,28,Asia,71095.46,0.09,23-06-2025
24,6,8,Asia,714383.55,0.08,13-10-2024
25,16,1,US,227593.29,0.1,21-04-2025
26,29,37,Asia,343129.62,0.1,13-06-2025
27,3,63,LATAM,552687.7,0.07,21-03-2024
28,20,22,LATAM,49511.32,0.07,19-06-2025
29,36,70,LATAM,525203.37,0.08,16-09-2025
30,19,21,MENA,133915.12,0.1,31-03-2024
31,26,96,Asia,157998.13,0.08,08-09-2024
32,3,35,US,733149.19,0.06,28-04-2025
33,19,79,US,737468.19,0.07,07-10-2025
34,20,5,MENA,219986.02,0.12,20-03-2024
35,32,60,US,164133.36,0.1,10-10-2025
36,7,46,LATAM,244341.77,0.09,06-07-2025
37,41,50,Asia,152784.09,0.07,16-08-2025
38,33,48,US,126138.41,0.1,15-11-2024
39,40,6,US,159198.11,0.06,19-09-2025
40,39,89,Europe,872034.43,0.08,24-02-2024
41,18,56,Europe,854993.51,0.08,17-12-2024
42,40,59,Europe,245005.69,0.07,01-07-2025
43,1,29,Asia,298161.93,0.08,12-01-2024
44,11,71,LATAM,242438.62,0.01,25-04-2025
45,28,77,LATAM,638695.95,0.11,09-04-2025
46,25,18,LATAM,154564.7,0.09,08-06-2025
47,50,2,Asia,118554.96,0.08,25-04-2025
48,23,8,Asia,88055.14,0.13,10-08-2025
49,31,75,Europe,956805.71,0.09,05-12-2024
50,30,97,US,43440.98,0.1,07-03-2025
51,42,54,MENA,423764.9,0.06,27-12-2024
52,35,38,MENA,1698889.28,0.08,28-10-2024
53,7,48,US,358515.65,0.07,23-10-2024
54,16,27,Europe,692617.3,0.09,20-06-2024
55,26,20,US,543175.31,0.09,06-02-2024
56,48,12,US,1387586.91,0.07,03-09-2025
57,49,43,MENA,266227.92,0.08,07-11-2024
58,2,61,Europe,581824.87,0.08,31-07-2025
59,1,31,Asia,62213.75,0.06,23-09-2024
60,48,91,MENA,99988.95,0.06,03-03-2024
61,12,96,Asia,3753552.01,0.09,06-10-2025
62,5,61,Europe,107043.41,0.07,29-04-2025
63,37,74,US,106977.19,0.1,15-08-2025
64,32,67,LATAM,1020877.53,0.13,22-06-2024
65,9,91,LATAM,508747,0.04,09-08-2025
66,41,35,Europe,42412.39,0.12,22-02-2024
67,35,95,LATAM,2761321.05,0.09,25-10-2024
68,19,15,Asia,246537.16,0.08,01-10-2025
69,48,16,LATAM,93572.28,0.07,28-01-2024
70,16,13,Europe,129173.72,0.11,20-10-2024
71,3,35,Europe,305488.44,0.03,11-05-2025
72,20,75,Asia,484402.61,0.1,25-03-2024
73,24,59,LATAM,1845107.99,0.08,09-05-2024
74,33,21,LATAM,255339.14,0.05,01-06-2025
75,24,54,US,11086.63,0.05,19-03-2024
76,11,75,MENA,129241.4,0.09,11-10-2024
77,49,30,Europe,255346.04,0.14,15-09-2024
78,8,48,US,1980238.43,0.08,15-05-2024
79,36,35,Europe,1819890.51,0.09,22-09-2025
80,38,86,US,32694.16,0.09,14-10-2024
81,40,38,MENA,1036907.61,0.1,08-10-2024
82,20,31,US,526339.97,0.05,20-09-2024
83,35,78,Europe,1056240.45,0.12,15-01-2024
84,48,24,LATAM,493192.62,0.09,24-04-2024
85,25,49,Europe,379850.72,0.08,10-09-2025
86,35,96,Asia,199101.09,0.07,27-06-2024
87,25,100,Asia,690978.37,0.06,28-08-2025
88,29,32,Asia,132436.41,0.08,03-06-2024
89,18,55,Asia,289603.99,0.07,02-04-2025
90,46,79,MENA,257149.83,0.04,13-01-2025
91,18,58,LATAM,37251.18,0.04,28-06-2024
92,2,99,LATAM,943624.09,0.1,24-09-2024
93,35,3,Europe,3563611.27,0.11,29-08-2024
94,16,80,US,292906.39,0.13,11-05-2025
95,41,69,Europe,78167.44,0.11,04-07-2024
96,36,85,Europe,12135.87,0.07,24-06-2025
97,33,10,Europe,43993.18,0.05,03-02-2024
98,4,83,Europe,388084.63,0.08,17-12-2024
99,33,25,LATAM,11587.47,0.06,27-03-2024
100,14,68,US,234940.04,0.06,28-05-2024
101,21,61,Europe,435909.33,0.11,01-09-2025
102,48,29,LATAM,625382.51,0.08,06-06-2024
103,20,19,Europe,53734.63,0.05,22-05-2025
104,8,43,Asia,105606.3,0.06,26-02-2025
105,7,66,Europe,43734.3,0.09,27-01-2025
106,3,74,Europe,439618.6,0.08,31-08-2024
107,17,61,MENA,256851.24,0.11,26-03-2025
108,33,43,Asia,11822.35,0.04,20-06-2024
109,48,25,US,820719.57,0.08,03-08-2024
110,12,20,Europe,423553.97,0.11,14-08-2025
111,22,48,US,110021.59,0.09,19-12-2024
112,22,83,Asia,128900.56,0.06,25-02-2024
113,46,87,Europe,2141812.84,0.07,27-09-2024
114,30,24,MENA,318865.71,0.07,28-04-2024
115,38,11,LATAM,46380.88,0.08,23-02-2024
116,38,98,MENA,143727.08,0.09,20-06-2024
117,45,55,MENA,64545.03,0.09,20-04-2025
118,8,28,LATAM,3931449.37,0.09,12-02-2025
119,27,69,LATAM,360766.93,0.09,02-05-2025
120,27,63,LATAM,800774.66,0.07,04-11-2024
121,34,59,Europe,258898.83,0.1,02-05-2025
122,21,5,US,108773.39,0.06,29-06-2025
123,30,51,US,67605.08,0.07,27-08-2024
124,33,21,LATAM,412279.42,0.11,23-01-2025
125,28,12,MENA,1006291.78,0.1,03-02-2025
126,47,50,Asia,301767.23,0.09,30-04-2025
127,33,4,LATAM,35899.57,0.01,25-09-2024
128,5,42,MENA,111826.66,0.11,28-05-2024
129,48,84,MENA,1885761.57,0.05,27-06-2025
130,19,38,Europe,110966.46,0.08,21-03-2025
131,4,25,Europe,129534.99,0.03,13-01-2024
132,35,14,US,352018.2,0.11,22-10-2024
133,49,75,US,271697.82,0.07,04-04-2025
134,17,32,Asia,91855.21,0.08,26-01-2025
135,44,11,Asia,5501230.28,0.13,19-11-2024
136,28,61,Asia,451551.57,0.11,26-06-2025
137,30,18,Asia,50033.53,0.1,12-02-2024
138,29,27,MENA,236018.53,0.1,09-04-2024
139,46,55,MENA,124204.19,0.06,28-06-2025
140,6,54,US,387670.86,0.07,28-12-2024
141,35,82,Europe,193493.44,0.11,18-03-2025
142,41,87,Europe,50391.84,0.08,17-09-2025
143,37,75,LATAM,110807,0.05,06-10-2024
144,24,21,MENA,249327.42,0.11,09-12-2024
145,29,44,Asia,113918.52,0.07,03-10-2024
146,49,5,Asia,375482.71,0.1,30-09-2024
147,46,87,LATAM,51952.11,0.09,10-04-2024
148,31,41,Europe,158556.81,0.06,18-09-2024
149,35,59,Asia,454100.67,0.05,21-08-2025
150,33,89,Europe,67515.64,0.1,04-02-2025
151,21,54,LATAM,871059.46,0.09,17-04-2025
152,32,74,Europe,135244.85,0.06,04-09-2024
153,23,22,Europe,342319.32,0.08,25-08-2025
154,33,83,Europe,70884.63,0.13,18-07-2024
155,3,65,Asia,589307.29,0.09,16-06-2025
156,18,64,US,1103804.35,0.12,11-12-2024
157,25,71,MENA,1073243.13,0.08,03-07-2024
158,42,4,Europe,171273.38,0.05,16-11-2024
159,31,65,Europe,415227.91,0.13,14-07-2025
160,3,15,Europe,293182.78,0.07,11-01-2024
161,40,76,US,872362.01,0.11,09-01-2024
162,46,22,LATAM,734711.17,0.12,10-03-2024
163,24,86,Asia,386665.47,0.07,13-01-2024
164,50,47,US,267460.43,0.07,25-02-2025
165,32,81,Europe,57997.41,0.07,10-04-2024
166,47,93,US,509982.26,0.08,21-06-2025
167,22,46,US,56204.76,0.09,16-04-2024
168,23,14,US,269656.92,0.12,01-04-2025
169,2,50,LATAM,366294.86,0.09,25-12-2024
170,27,20,MENA,32348.88,0.06,12-08-2024
171,42,50,Asia,3626064,0.13,17-10-2024
172,2,33,LATAM,40219.13,0.04,14-09-2024
173,26,59,LATAM,338721.58,0.08,16-07-2024
174,17,43,MENA,221153.9,0.12,04-02-2024
175,40,79,LATAM,377597.5,0.07,25-01-2024
176,33,12,US,169901.93,0.03,26-09-2025
177,9,40,US,756864.74,0.07,04-04-2024
178,43,20,Europe,15486.14,0.12,28-02-2024
179,48,94,LATAM,146651.84,0.08,31-08-2025
180,39,38,Europe,2107142.93,0.09,10-08-2024
181,29,3,Asia,986915.53,0.08,05-09-2025
182,42,28,US,750153.56,0.07,04-05-2024
183,26,56,Asia,853042.15,0.09,02-05-2024
184,35,90,MENA,124756.87,0.14,29-03-2024
185,50,94,US,657303.58,0.05,11-09-2025
186,25,13,Asia,9674.5,0.06,13-05-2024
187,24,77,MENA,2078624.87,0.13,19-01-2025
188,13,66,Asia,282367.17,0.09,02-08-2025
189,7,37,MENA,31735.11,0.11,08-07-2024
190,36,49,MENA,181608.45,0.04,23-04-2024
191,45,66,US,579783.91,0.08,07-07-2024
192,20,36,Europe,772911.53,0.1,16-09-2024
193,1,54,MENA,340483.02,0.08,28-10-2024
194,8,26,MENA,561444.09,0.1,23-04-2025
195,46,75,US,649001.63,0.06,18-03-2024
196,16,72,Europe,114896.35,0.08,09-04-2025
197,14,40,LATAM,43332.11,0.12,10-10-2024
198,12,43,LATAM,220573.89,0.07,13-03-2025
199,23,22,Europe,28720.67,0.06,27-11-2024
200,15,20,Asia,310014.25,0.08,20-09-2024
201,28,8,US,615283.98,0.07,14-06-2024
202,34,29,Europe,3376027.79,0.1,16-03-2024
203,2,40,LATAM,193386.07,0.1,10-10-2024
204,32,90,MENA,35340.44,0.06,04-03-2024
205,23,30,LATAM,14889.12,0.08,26-01-2025
206,22,81,MENA,55053.7,0.08,01-02-2025
207,25,84,US,220479.99,0.09,06-12-2024
208,22,55,MENA,180050.22,0.09,02-03-2024
209,22,16,Europe,210221.27,0.11,21-09-2024
210,49,46,MENA,3192231.42,0.04,28-09-2024
211,42,62,Asia,478366.71,0.11,01-07-2024
212,6,7,Europe,79016.76,0.06,27-03-2025
213,15,80,US,108816.71,0.06,12-03-2024
214,43,45,Europe,89855.82,0.12,18-05-2025
215,37,59,Asia,53346.58,0.03,24-07-2024
216,33,56,US,25947.69,0.04,16-09-2025
217,8,48,LATAM,73518.89,0.12,06-02-2025
218,44,27,Asia,626043.33,0.08,01-07-2024
219,44,53,US,541281.26,0.06,18-05-2025
220,5,87,MENA,43731.61,0.1,21-04-2024
221,39,88,Europe,212338.46,0.07,27-05-2024
222,4,73,US,590294.54,0.1,07-07-2025
223,6,35,Europe,43225.21,0.09,17-03-2025
224,45,51,MENA,57271.99,0.09,11-08-2024
225,32,84,US,117709.55,0.09,20-09-2025
226,30,37,LATAM,63062.01,0.09,18-04-2024
227,47,81,Asia,143340.14,0.04,28-03-2025
228,35,95,US,324588.49,0.08,22-09-2024
229,40,57,MENA,10304.56,0.1,15-04-2024
230,16,8,US,519614.1,0.08,05-02-2024
231,13,79,Europe,1813550.34,0.12,15-03-2024
232,50,95,US,71506.66,0.06,13-03-2024
233,42,94,LATAM,1820422.35,0.06,08-08-2025
234,30,20,US,169770,0.07,13-09-2024
235,19,53,Asia,133154.85,0.12,01-04-2025
236,17,12,US,545985.95,0.08,20-01-2024
237,19,49,Europe,182583.45,0.05,24-05-2025
238,28,17,US,491597.42,0.09,01-06-2024
239,26,64,LATAM,239237.28,0.06,01-01-2024
240,37,42,MENA,334173.66,0.11,08-02-2024
241,26,94,US,633241.43,0.09,03-02-2025
242,23,29,US,61050.77,0.06,29-09-2024
243,9,19,Asia,397826.42,0.07,04-06-2024
244,12,11,LATAM,663104.85,0.08,03-12-2024
245,1,98,MENA,79795.68,0.13,04-02-2025
246,1,50,Europe,902798.46,0.09,11-08-2025
247,47,71,US,447325.39,0.1,04-01-2024
248,34,58,MENA,76193.58,0.04,11-06-2025
249,32,34,Europe,126063.39,0.09,17-05-2025
250,48,20,LATAM,98656.56,0.09,04-05-2025
251,25,50,LATAM,45466.62,0.08,22-03-2025
252,40,88,MENA,528873.86,0.12,17-02-2025
253,45,10,Europe,85056.25,0.11,12-03-2024
254,1,32,LATAM,836576.67,0.06,07-07-2025
255,16,52,MENA,1118952.54,0.1,19-08-2024
256,39,15,LATAM,23687.72,0.06,04-01-2024
257,5,84,LATAM,412748.93,0.12,28-01-2025
258,22,3,LATAM,93094.48,0.12,08-05-2025
259,29,37,Asia,359078.44,0.08,04-05-2024
260,3,40,Europe,691250.02,0.12,03-08-2025
261,12,72,MENA,100534.58,0.05,02-07-2025
262,26,40,MENA,532912.86,0.11,02-01-2025
263,16,56,Europe,70298.98,0.11,07-12-2024
264,37,23,Europe,1522670.23,0.09,06-11-2024
265,22,11,Europe,436904.91,0.08,14-02-2025
266,29,64,Europe,108204.49,0.08,26-02-2024
267,14,8,US,262191.35,0.1,09-10-2025
268,28,93,MENA,1616882.77,0.06,02-04-2024
269,5,94,US,43056.42,0.1,09-01-2025
270,47,56,LATAM,165093.55,0.11,01-07-2025
271,49,60,LATAM,1311478.21,0.05,14-12-2024
272,30,10,MENA,146768.64,0.06,23-03-2024
273,46,39,LATAM,645093.81,0.1,15-04-2025
274,5,28,Europe,75817.94,0.09,23-10-2024
275,12,49,US,4557277.73,0.09,26-07-2024
276,16,36,Europe,65658.95,0.11,29-06-2024
277,26,13,LATAM,992620.16,0.1,21-07-2025
278,26,96,US,2012720.56,0.08,10-02-2024
279,48,36,Europe,73918.88,0.06,28-01-2025
280,21,26,MENA,215439.43,0.07,14-07-2024
281,39,86,Europe,377559.17,0.1,02-11-2024
282,36,4,LATAM,276340.43,0.13,03-02-2025
283,33,95,US,39525.67,0.1,19-04-2024
284,30,82,MENA,19378.03,0.1,07-10-2025
285,37,64,US,124989.55,0.1,02-01-2025
286,23,38,MENA,310207.7,0.09,13-05-2025
287,10,88,US,90327.96,0.1,27-03-2024
288,5,87,LATAM,383133.95,0.07,09-10-2025
289,36,22,MENA,825109.73,0.1,24-03-2025
290,34,2,Asia,823065.21,0.08,13-07-2024
291,31,31,US,114283.91,0.12,23-05-2024
292,10,11,US,109048.74,0.07,06-02-2024
293,19,92,Europe,733587.14,0.1,16-07-2024
294,32,46,MENA,36478.4,0.08,26-01-2024
295,1,96,Asia,1202357.48,0.07,30-08-2025
296,5,62,LATAM,58781.54,0.09,01-09-2024
297,45,69,Europe,187162,0.08,15-05-2025
298,4,64,Asia,698404.33,0.08,02-02-2025
299,16,10,MENA,257208,0.06,05-03-2024
300,24,40,Asia,49945.83,0.07,07-07-2025
301,16,24,US,1082149.85,0.06,11-11-2024
302,2,99,US,170333.64,0.08,26-05-2025
303,49,44,Europe,131619.36,0.09,30-06-2025
304,28,60,MENA,4111821.38,0.1,05-04-2025
305,32,62,MENA,37498.8,0.08,17-01-2024
306,27,87,Asia,26097.52,0.09,07-02-2024
307,20,17,Europe,38066.5,0.07,13-12-2024
308,24,65,MENA,13823.9,0.07,27-02-2024
309,12,95,US,2117051.8,0.12,11-12-2024
310,50,95,Asia,1083821.84,0.1,13-02-2024
